name	version	description	author	license	categories	last_publish	days_since_publish	downloads_last_month	github_stars	package_size_kb	gzip_size_kb	dependencies_count	peer_dependencies_count	dev_dependencies_count	engines_count	interoperability_score	readme_length	readme_has_examples	has_homepage	has_repository	documentation_score	npm_url	repository	homepage
debug	4.4.3	Lightweight debugging utility for Node.js and the browser	Josh Junon	MIT	Utility	9/13/2025	87	1811202604	11400	6.1	2.44	1	0	11	1	100	22109	1	1	1	100	https://www.npmjs.com/package/debug	https://github.com/debug-js/debug	https://github.com/debug-js/debug#readme
chalk	5.6.2	Terminal string styling done right	Unknown	MIT	Database/ORM, CLI Tool, UI Component	10/29/2025	40	1483070898	22800	0	0	0	0	10	1	100	0	0	1	1	40	https://www.npmjs.com/package/chalk	https://github.com/chalk/chalk	https://github.com/chalk/chalk#readme
commander	14.0.2	the complete solution for node.js command-line programs	TJ Holowaychuk	MIT	CLI Tool	11/9/2025	30	1032888701	1100	39.48	11.06	0	0	13	1	100	42966	1	1	1	100	https://www.npmjs.com/package/commander	https://github.com/tj/commander.js	https://github.com/tj/commander.js#readme
uuid	13.0.0	RFC9562 UUIDs	Unknown	MIT	UI Component	9/8/2025	91	754471575	15200	0	0	0	0	21	0	100	17265	1	1	1	100	https://www.npmjs.com/package/uuid	https://github.com/uuidjs/uuid	https://github.com/uuidjs/uuid#readme
ajv	8.17.1	Another JSON Schema Validator	Evgeny Poberezkin	MIT	Validation	6/9/2025	183	716944832	14500	111.05	32.02	4	0	41	0	90	13781	1	1	1	100	https://www.npmjs.com/package/ajv	https://github.com/ajv-validator/ajv	https://ajv.js.org
yargs	18.0.0	yargs the modern, pirate-themed, successor to optimist.	Unknown	MIT	CLI Tool	5/27/2025	196	565514076	11400	106.65	31.41	6	0	22	1	100	5402	1	1	1	100	https://www.npmjs.com/package/yargs	https://github.com/yargs/yargs	https://yargs.js.org/
ws	8.18.3	Simple to use, blazing fast and thoroughly tested websocket client and server for Node.js	Einar Otto Stangvik	MIT	Testing, CLI Tool, Real-time	6/28/2025	164	530986792	22500	0.28	0.21	0	2	10	1	100	15306	1	1	1	100	https://www.npmjs.com/package/ws	https://github.com/websockets/ws	https://github.com/websockets/ws
typescript	5.9.3	TypeScript is a language for application scale JavaScript development	Microsoft Corp.	Apache-2.0	Build Tool	12/9/2025	0	452447753	107000	3437.43	950.15	0	0	44	1	100	0	0	1	1	40	https://www.npmjs.com/package/typescript	https://github.com/microsoft/TypeScript	https://www.typescriptlang.org/
node-fetch	3.3.2	A light-weight module that brings Fetch API to node.js	David Frank	MIT	General	11/30/2023	740	358948449	8900	0	0	3	0	16	1	100	0	0	1	1	40	https://www.npmjs.com/package/node-fetch	https://github.com/node-fetch/node-fetch	https://github.com/node-fetch/node-fetch
lodash	4.17.21	Lodash modular utilities.	John-David Dalton	MIT	Utility	11/24/2025	15	348084084	61500	69.79	24.42	0	0	0	0	100	1107	1	1	1	80	https://www.npmjs.com/package/lodash	https://github.com/lodash/lodash	https://lodash.com/
@babel/core	7.28.5	Babel compiler core.	The Babel Team (https://babel.dev/team)	MIT	Build Tool	10/23/2025	47	341585737	43800	1258.19	297.78	15	0	14	1	90	0	0	1	1	40	https://www.npmjs.com/package/@babel/core	https://github.com/babel/babel	https://babel.dev/docs/en/next/babel-core
esbuild	0.27.1	An extremely fast JavaScript and CSS bundler and minifier.	Unknown	MIT	Build Tool, UI Component	12/3/2025	5	321532554	39500	41.12	14.18	0	0	0	1	100	175	0	1	1	45	https://www.npmjs.com/package/esbuild	https://github.com/evanw/esbuild	https://github.com/evanw/esbuild#readme
